,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",10823528,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,Butter,BTS,7878899,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
3,"deja vu","Olivia Rodrigo",5911065,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
4,"MONTERO (Call Me By Your Name)","Lil Nas X",5174970,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"drivers license","Olivia Rodrigo",4793712,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
6,"Kiss Me More (feat. SZA)","Doja Cat",4788253,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4334014,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,traitor,"Olivia Rodrigo",4027897,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
9,"ZITTI E BUONI",Måneskin,3902224,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
10,brutal,"Olivia Rodrigo",3900264,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
11,"Levitating (feat. DaBaby)","Dua Lipa",3863608,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"enough for you","Olivia Rodrigo",3530169,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
13,happier,"Olivia Rodrigo",3427057,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
14,"1 step forward, 3 steps back","Olivia Rodrigo",3163684,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
15,"Astronaut In The Ocean","Masked Wolf",3085558,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
16,"Leave The Door Open","Bruno Mars",3045181,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,"jealousy, jealousy","Olivia Rodrigo",2857192,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
18,Fiel,"Los Legendarios",2855790,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"favorite crime","Olivia Rodrigo",2827898,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
20,RAPSTAR,"Polo G",2633222,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
21,Dynamite,BTS,2626049,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
